datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
10/10/1949 20:30,san marcos,tx,us,cylinder,2700,45 minutes,This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit,4/27/2004,29.8830556,-97.9411111
10/10/1965 21:00,penarth (uk/wales),,gb,circle,180,about 3 mins,penarth uk  circle  3mins  stayed 30ft above me for 3 mins slowly moved of and then with the blink of the eye the speed was unreal,2/14/2006,51.434722,-3.18
10/10/1965 23:45,norwalk,ct,us,disk,1200,20 minutes,A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines.,10/2/1999,41.1175,-73.4083333
10/10/1971 21:00,lexington,nc,us,oval,30,30 seconds,green oval shaped light over my local church&#44power lines down..,2/14/2010,35.8238889,-80.2536111
10/10/1972 22:30,west bloomfield,mi,us,disk,120,2 minutes,The UFO was so close&#44 my battery in the car went to zero amps&#44 stalling the engine&#44 turning off my lights and radio.,8/14/2007,42.5377778,-83.2330556
10/10/1974 19:30,hudson,ma,us,other,2700,45 minutes,Not sure of the eact month or year of this sighting but it was in the fall of 74 or 75. Was walking home around dusk and saw a bright l,8/10/1999,42.3916667,-71.5666667
10/10/1974 21:30,cardiff (uk/wales),,gb,disk,1200,20 minutes,back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely&#44 and in the distance there was a wood called Ca,2/1/2007,51.5,-3.2
10/10/1977 22:00,louisville,ky,us,light,30,approx: 30 seconds,HBCCUFO CANADIAN REPORT:  Pilot Sighting Of Unusual Light.,3/17/2004,38.2541667,-85.7594444
10/10/1980 22:00,dallas,tx,us,unknown,300,5 minutes,Strange shape shifting craft of pure light energy.,10/28/2002,32.7833333,-96.8
10/10/1990 21:00,ashburn,ga,us,triangle,120,2 minutes,Translucent Craft that makes No Sound While Moving,10/8/2007,31.7058333,-83.6533333
10/10/1998 3:30,phoenix (north part),az,us,fireball,15,10 to 15 sec,bright green moving north to north east. it was bright green and kinda clear. quite fast too.,2/16/1999,33.4483333,-112.0733333
10/10/1998 20:50,mooresville,nc,us,light,2,2 seconds,Star gazing in back yard with telescope and binos. Saw shooting star and an oblong shape of light.,11/1/1998,35.5847222,-80.8102778
10/10/1998 22:30,st. john&#39s (canada),nf,ca,egg,7200,2 hours,Started off as 3 points of intense yellow light in triangle formation - then grew larger - it becage a single egg shape - VERY bright.,12/2/2000,47.55,-52.666667
10/10/1999 4:00,kansas city,ks,us,unknown,600,5-10 min.,Orange object over city.,10/19/1999,39.1141667,-94.6272222
10/10/1999 12:40,kennewick,wa,us,sphere,45,45 secs,Standing outside saying goodby to family members and pointing to Chem-Trails,10/19/1999,46.2113889,-119.1361111
10/10/1999 22:30,casey key (north end of),fl,,triangle,120,several minutes,A large trianglual shaped craft flew from horizon to horizon as observed from the stern deck of a motor vessel,9/19/2002,27.150053,-82.480653
10/10/2000 20:20,valley park area of st. louis,mo,,oval,15,15 seconds,Driving on Hyw.141 at Hyw. 44 and going East&#44 I witnessed to my right a glowing orb of light streak horizontally from East to West at a,12/2/2000,38.627003,-90.199404
10/10/2000 22:00,port orchard,wa,us,diamond,60,1min,One night my window started to flash,5/12/2009,47.5405556,-122.635
10/10/2001 21:15,ottumwa,ia,us,rectangle,300,3-5 minutes,We saw a square object at night&#44  which had 2 blue &amp; 2 red lights at corners&#44 hovering in sky above us.,11/20/2001,41.0041667,-92.3736111
10/10/2002 4:00,adelaide (pt. wakefield) (south australia),,au,circle,600,10 mins,one light became 3,10/28/2002,-34.928661,138.598633
10/10/2003 21:10,crescent beach,sc,us,formation,37800,1 1/2 hr.,For two consecutive nights&#44 we watched a pattern of lights before we were stunned by a discovery on the beach.,1/17/2004,33.8075,-78.7011111
10/10/2004 2:50,mahwah,nj,us,triangle,180,2 - 3 minutes,Triangle shaped flying&#44 hovering U.F.O. witnessed over Sheraton Hotel in Mahwah&#44 NJ. on 10/10/04.,12/12/2011,41.0886111,-74.1441667
10/10/2005 21:30,north miami beach,fl,us,other,3600,60 min,a manta ray shaped object with orange and yellow lights flashing in,10/11/2005,25.9327778,-80.1627778
10/10/2006 12:37,blairsville,ga,us,unknown,10,<10 sec.,Intermittant streak by moon&#44 not seen on photo taken 10 seconds earlier.,10/30/2006,34.8761111,-83.9583333
10/10/2006 21:47,plymouth (devonshire) (uk/england),,gb,formation,120,1-2 mins,they were right above me very small almost like minni stars and they were circling round sommothing and came closer and further away an,10/30/2006,50.396389,-4.138611
10/10/2006 22:40,waycross,ga,us,light,120,2 minutes,Redish orange light viewed from Waycross &#44Ga. Moving Northwest and suddenly just goes out.,10/30/2006,31.2133333,-82.3541667
10/10/2006 22:50,wolfforth,tx,us,disk,300,5 min,Huge aircraft with diagnally aligned white lights moving slowly and loudly through the night.,10/30/2006,33.5058333,-102.0086111
10/10/2007 23:05,northglenn,co,us,triangle,15,15 seconds,Hovering triangular shape seen with flashing lights seen in Colorado,11/28/2007,39.8855556,-104.9866667
10/10/2008 2:00,london (canada),on,ca,other,120,2 min. approx,C shape with a T front over London ont on Oct 10&#44 2008 on a clear day around 2PM,6/9/2009,42.983333,-81.25
10/10/2008 4:00,carlin,nv,us,disk,600,10 mins,Ufo sighting in Carlin&#44 NV&#44 at the pilot truck stop. 500 Lights On Object0: Yes,7/19/2010,40.7138889,-116.1030556
10/10/2008 20:00,philadelphia,pa,us,oval,60,1 minute,Silent&#44 oval&#44 bright white craft in yard.,7/4/2012,39.9522222,-75.1641667
10/10/2009 12:00,crested butte,co,us,egg,60,1min,metallic egg shaped craft above crested butte&#44 CO.  Also have seen great amount of activity READ ME&#33,12/12/2009,38.8697222,-106.9872222
10/10/2010 17:10,bridgeport,ct,us,light,600,five to ten minutes,Saw a light in the sky fading in and out over Bridgeport&#44 CT.,11/21/2010,41.1669444,-73.2052778
10/10/2010 20:00,san angelo,tx,us,oval,60,1 minute,I was coming back from the grocery store around 8:30 pm when I noticed a large orange glowing object in the sky above my neighbors hous,11/21/2010,31.4636111,-100.4366667
10/10/2010 21:30,albany,ny,us,circle,10,10 seconds,Circle of light SUNY Albany.,8/30/2013,42.6525,-73.7566667
10/10/2011 0:00,troy,ny,us,triangle,7200,2 hours,Red&#44 green &amp; orange blinking triangle formation.  ((NUFORC Note:  Probable sighting of a twinkling star&#44 possibly Sirius.  PD)),10/10/2011,42.7283333,-73.6922222
10/10/2011 20:00,middletown,ct,us,fireball,1200,15-20 minutes,Fireball Spinning Orange UFO,10/19/2011,41.5622222,-72.6511111
10/10/2012 19:45,syracuse,ny,us,circle,240,4 minutes,Bright orange circles going thru the sky in the same direction. Some were closer to each other.,10/30/2012,43.0480556,-76.1477778
10/10/2013 19:15,harvey station (canada),nb,ca,light,120,2 minutes,Slow moving bright orange light.,10/23/2013,45.716667,-67
10/10/2013 20:32,warren,mi,us,sphere,45,45 seconds,Three glowing reddish-orange spheres changing to white lights,10/14/2013,42.4775,-83.0277778
10/10/2013 21:30,hudson,nh,us,light,1,1 second,Very white bright light moving fast inside clouds.,10/14/2013,42.7647222,-71.4402778
10/11/1987 21:30,minnetonka,mn,us,light,30,30 seconds,White light moves west to east&#44 suddenly stops&#44 then moves south at a high rate of speed.,10/14/2013,44.9133333,-93.5030556
10/11/1996 22:00,damascus,va,us,light,60,60 sec.,1996 SIGHTING IN DAMASCUS&#44 VA. WHILE CAMPING IN THE CHEROKEE NATIONAL FOREST.,9/24/2003,36.6336111,-81.7838889
10/11/1998 14:30,mount carmel,tn,us,light,10,10 seconds,Bright shiny object splits in two and disappears above horizon.,11/1/1998,36.5452778,-82.6611111
10/11/2001 1:00,somerset,wi,us,light,10800,3 hours+,My brother and I went outside to have a smoke and then noticed a moving&#44 multicolored light in the sky....,11/20/2001,45.1244444,-92.6733333
10/11/2003 11:32,newaygo,mi,us,circle,40,30-40 sec,Two fuzzy disks chaseing each other.,11/26/2003,43.4197222,-85.8
10/11/2004 14:00,arroyo grande,ca,us,circle,60,1 minute,observed Angel Hair type UFO,12/14/2004,35.1186111,-120.5897222
10/11/2004 23:15,williamsville,ny,us,light,540,9 minutes,Hovering light seen over Williamsville&#44 NY,10/27/2004,42.9638889,-78.7380556
10/11/2005 19:00,casa grande,az,us,light,1800,30 minutes,amber lights over I-10 near Casa Grande Az.,10/20/2005,32.8794444,-111.7566667
10/11/2005 21:50,rotherham (south yorkshire) (uk/england),,gb,oval,3600,1hr,A light it was a oval shape duration was 1hr,12/16/2005,53.433333,-1.35
10/11/2006 9:00,littlerock,ar,,oval,600,10 minutes,The first object was shaped like an oval and appeared coming out the southwest traveling in an eastern direction this object appeared t,10/30/2006,34.746481,-92.289595
10/11/2006 21:00,milton,fl,us,light,900,15 minutes,THE LIGHTS KEPT FLASHING AND MOVING AT VERY HIGH SPEEDS SHOWING UP THEN WOULD BE GONE IN AN INSTANT THEN FLYING SIDE WAYS UNLIKE ANY PL,10/30/2006,30.6322222,-87.0397222
10/11/2006 22:00,enid,ok,us,light,60,about 1 minute,Fast moving ball of light speeds across the sky.,10/30/2006,36.3955556,-97.8780556
10/11/2007 20:30,gulf shores,al,us,disk,1800,30 min.,Brightly lighted Object appeared total of 6-8 times in different locations in night sky over ocean for few seconds and disappeared,11/28/2007,30.2458333,-87.7008333
10/11/2008 19:30,naples,fl,us,triangle,30,30 seconds,A dark flying V.,10/31/2008,26.1416667,-81.795
10/11/2009 19:50,putnamville,in,us,flash,540,8 - 9 minutes,Two Hovering Aircraft Spotted Around a Strange Haze,12/12/2009,39.5741667,-86.8652778
10/11/2009 21:55,madison,wi,us,light,180,3 minutes,Amber orange light moving very slowly&#44 dimming out&#44 shooting away.,12/12/2009,43.0730556,-89.4011111
10/11/2010 20:50,glendora,ca,us,circle,60,1 min,I was north on a mountain facing south with my friend. We were star gazing and I looked up in the sky at about a 45 degree angle and sa,11/21/2010,34.1361111,-117.8644444
10/11/2011 15:00,cedar city,ut,us,light,8,8 seconds,Bright&#44 white&#44 star-like UFO over Cedar City at 1500 on sunny day.,10/19/2011,37.6775,-113.0611111
10/11/2011 19:42,new bedford,ma,us,circle,1800,30-minutes,At least 25 orange and red fireballs fly over New Bedford&#44 MA&#44 USA,12/12/2011,41.6361111,-70.9347222
10/11/2012 19:30,forty fort,pa,us,fireball,720,12 minutes,Slow moving bright light,10/30/2012,41.2788889,-75.8786111
10/11/2012 20:00,nanticoke,pa,us,diamond,60,~1 minute,UFO sighted over Nanticoke PA,10/30/2012,41.2052778,-76.0052778
10/11/2013 3:00,hamilton (canada),on,ca,cylinder,3600,0300:0400,Enlarged still frame pics of the video show strage shapes and strange colors.,10/23/2013,43.25,-79.833333
10/11/2013 19:00,lawrence,ks,us,unknown,240,2-4 minutes,Silent blue and white lights of craft object change color&#44 approach myself and boyfriend&#44 before changing into buzzing&#44 everyday plane,10/14/2013,38.9716667,-95.235
10/11/2013 19:50,essex junction,vt,us,light,60,60 seconds,4 or 5 Orange Lights in Vermont Sky,10/14/2013,44.4905556,-73.1113889
10/11/2013 20:00,naples,fl,us,light,7200,few hours,Circle of Different color flashing light over gulf in naples,10/14/2013,26.1416667,-81.795
10/11/2013 20:15,cincinnati,oh,us,fireball,60,1 minute,3 fireball type objects close to downtown Cincinnati.,10/14/2013,39.1619444,-84.4569444
10/11/2013 20:15,union,ky,us,fireball,300,5 minutes,amber fireball descending&#44splits into 3 objects&#44stops&#44they hover above ground with erratic movements,10/23/2013,38.9458333,-84.6805556
10/11/2013 21:00,fayetteville,ny,us,chevron,90,90 seconds,Brilliant slow moving light in fayetteville ny.,10/14/2013,43.0297222,-76.0047222
10/1/1952 3:30,fukuoka (japan),,,disk,1200,about 20 mins,UFO seen by multiple U. S. military personnel; F-86 intercept.,12/7/2006,33.590355,130.401716
10/1/1957 21:00,paterson,nj,us,disk,10,10 seconds,Formation of approximately 8 light gray metallic disks silently crossing the night sky around October 1957 in northern NJ,4/16/2005,40.9166667,-74.1722222
10/1/1965 14:00,colonial heights,va,us,sphere,120,2 minutes,Saw sphere ping-ponging up and down and side to side in blue sky.,4/1/2000,37.2438889,-77.4105556
10/1/1966 20:00,buffalo,ny,us,light,240,4 minutes,One of the bright stars moved north&#44 curved upward&#44 flew in a wide arc&#44 then accelerated up into the cosmos.,1/11/2002,42.8863889,-78.8786111
10/1/1966 22:00,anacortes,wa,us,light,1200,20 mins.,20 miles driving toward Anacortes&#44a friend and I were listening to a radio station in Anacortes. The DJ said he had recieved calls abou,4/15/2000,48.5127778,-122.6113889
10/1/1969 16:00,san francisco,ca,us,oval,600,5-10 min,It was in the afternoon just before sunset at 20 Steiner St SF CA I saw above me and there was one other person who was with me on the,8/30/1999,37.775,-122.4183333
10/1/1970 16:00,new york city (brooklyn),ny,us,disk,180,3 minutes,Hoovering disk like object by Father and Son&#44 Brookyln&#44 NY 1970,1/21/2008,40.7141667,-74.0063889
10/1/1970 19:00,summit lake indian reservation,nv,,oval,1500,25min.,ball of light&#44 turned into a doughnut shape&#44 assention&#44 stream&#44 4 witnesses&#44seen from higher elevation.,8/11/2004,41.524898,-119.05102
10/1/1970 19:00,tampa,fl,us,other,900,15 minutes,36 year old reports an object he saw with his mother 31 years ago.,8/20/2001,27.9472222,-82.4586111
10/1/1973 20:00,bloomington,in,us,light,1200,20 minutes,Three large bright white craft  interacting &amp; manuevering rapidly accross a quadrant of night sky.,7/3/2013,39.1652778,-86.5263889
10/1/1978 23:15,francesville,in,us,cylinder,900,approx. 15 min,Object hovered for apprx. 5 min. then proceeded west - it was apprx. 300&#39 long 50-75&#39 wide 50-75&#39 high w/lights.,7/16/2006,40.9852778,-86.8794444
10/1/1979 16:00,lomita,ca,us,disk,1200,20 minutes,Silent disk in afternoon daylight with over twenty witnesses,7/5/2008,33.7922222,-118.3141667
10/1/1979 19:00,columbia,md,us,rectangle,120,2 minutes,Large&#44 low-flying&#44 slow moving&#44 silent black rectangle with no lights,2/4/2013,39.2402778,-76.8397222
10/1/1980 1:30,fremont,ca,us,other,30,30 seconds,A heavy rain night off work and was amazed how heavy it was raining&#44 awake and looking out thru my skylight. Suddenly bright overwhelmi,8/5/2001,37.5483333,-121.9875
10/1/1980 20:00,mountainboro,al,us,fireball,20,20 seconds,Ball of Fire that changed into a cone shape.,7/4/2012,34.1469444,-86.1305556
10/1/1981 20:00,hesperia,mi,us,oval,2400,40 minutes,Two people in car see green oval object and lost time,1/10/2009,43.5688889,-86.0394444
10/1/1983 17:00,birmingham (uk/england),,gb,sphere,97836000,31 years,Firstly&#44 I was stunned and stared at the object for what seemed minutes&#44 but probably was only seconds. My first inclination was to bec,4/12/2013,52.466667,-1.916667
10/1/1984 20:00,chatsworth,ca,us,light,45,45 seconds,Light approaches at high rate of speed and makes a ninety degree turn.,2/24/2007,34.2572222,-118.6002778
10/1/1986 22:00,wheeling,wv,us,light,10,10 seconds,Missing time after seeing something that looked like the Northern lights.,1/11/2002,40.0638889,-80.7211111
10/1/1991 22:00,lafayette,ga,us,other,900,15 min.,A small globe descended from beneath the larger craft.,1/17/2004,34.7047222,-85.2819444
10/1/1994 13:13,new york city,ny,us,disk,15,15 seconds,a flying colorful disc above my car&#44 near Erie.  ((NUFORC Note:  Possible hoax??  PD)),6/12/2007,40.7141667,-74.0063889
10/1/1994 20:00,chicopee,ma,us,changing,300,5 minutes,Chicopee State Park&#44 Craft seemed to be shooting balls of light or breaking up,12/16/2005,42.1486111,-72.6083333
10/1/1995 18:30,williamsburg,pa,us,rectangle,600,10 minutes,Low flying rectangular object with very bright lights on all sides.,5/24/2005,40.4619444,-78.2
10/1/1995 22:00,wantagh,ny,us,triangle,60,1 minute,Triangle with three large&#44 dim&#44 amber lights flew rapidly overhead and rotated once.,10/31/2008,40.6836111,-73.5105556
10/1/1996 5:30,bainbridge,oh,us,triangle,180,3 minutes,Low-flying triangular object,10/11/2005,39.2275,-83.2705556
10/1/1996 8:00,new york city (manhattan),ny,us,oval,300,5 mintues,Possible UFO Sighting&#44 Manhattan&#44 New York 1996,2/14/2008,40.7141667,-74.0063889
10/1/1996 22:30,the woodlands,tx,us,fireball,180,2-3 minutes,2 orange fireballs moving across sky ~ crazy acrobatics,12/12/2011,30.1577778,-95.4891667
10/1/1997 19:00,pelzer,sc,us,triangle,180,3 minutes,Large&#44 black&#44 triangular&#44 object flew low and silent over South Carolina state prison yard.,1/10/2009,34.6422222,-82.4561111
10/1/1997 22:00,summerville,sc,us,triangle,1200,20 min,Triangular shape with lights in a V&#44 no sound&#44 very slow moving.,10/30/2006,33.0183333,-80.1758333
10/1/1997 23:15,lakeland,fl,us,light,60,1 minute,3 oval shaped reddish-orange lights flew over my house&#44 heading directly south. The lights formed a perfect triangle&#44 but flying severe,1/28/1999,28.0391667,-81.95
10/1/1998 4:30,rio rancho,nm,us,fireball,120,2 min.,Sighted during the major meteor shower last year.,4/2/1999,35.2333333,-106.6638889
10/1/1998 16:00,del mar,ca,us,fireball,4,4 seconds,Fireball streaked across the sky and fizzled out 5 miles inland,4/2/1999,32.9594444,-117.2644444
10/1/1998 23:10,mosinee,wi,us,other,300,5 minutes,I was driving south on U.S. Hwy 51 and I saw a craft that didn&#39t move for 5 or more minutes.  The craft also made no noise.,11/19/1998,44.7930556,-89.7030556
10/1/1999 0:30,san antonio,tx,us,fireball,30,30 seconds,Observed amber bright light decending for apx. 20 seconds.,10/19/1999,29.4238889,-98.4933333
10/1/1999 19:00,las vegas,nv,us,light,15,app. 15 seconds,A moving object which possibly changed speed and direction in an unorthodox manner,10/2/1999,36.175,-115.1363889
10/1/1999 19:00,nellis air force base (50-100 miles east of),nv,,light,180,3 minutes,On Friday October 1 around 7 in the evening I was driving south and about 50 miles east of Nellis Air Force base.I noticed an bright ob,11/17/1999,36.241416,-115.050807
10/1/1999 22:05,independence,mo,us,chevron,15,15 seconds,Looked up an saw tiny points of light creating the shape of a Chevron.,10/19/1999,39.0911111,-94.4152778
10/1/2000 1:30,sturgis,mi,us,disk,600,9 to 10 min.,THE OBJECT WAS UP TO HIGH FOR DETAIL BUT WAS CIRCLE IN SHAPE AND WAS BRIGHT WHITE LIGHT,4/1/2001,41.7991667,-85.4191667
10/1/2000 14:00,madera,ca,us,light,120,2 minutes,A bright oval shaped light flying faster than anything I had ever seen before.,8/30/2013,36.9613889,-120.0597222
10/1/2000 19:40,chandler,az,us,cigar,20,20 sec,tHIS IS A CORRECTION TO A REPORT THAT I MADE LAST WEEK.   WHEN WE SAW THE LIGHT MY WIFE AND NEIGHBOR WERE BEHIND ME AND THEY WSAW THE O,12/2/2000,33.3061111,-111.8405556
10/1/2001 1:05,seattle,wa,us,,1,1 sec,just a meteor sighting...,10/12/2001,47.6063889,-122.3308333
10/1/2001 22:00,lynden,wa,us,light,30,30 seconds,Outline: 1) Clear dark night.2) directly above me 3) appeared to be an orbitting satellite but was bluish and smaller than most.,7/1/2002,48.9466667,-122.4508333
10/1/2002 5:30,everson,wa,us,other,5,4-5 seconds,Among the Northern lights a bright green fireball from West to East,10/15/2002,48.9202778,-122.3413889
10/1/2002 5:35,seattle,wa,us,unknown,1,a second?,On the morning of 10/01/02 I was driving to work on HI5 in Seattle Wa. and I was south bound by the old Rainier Brewery and saw a brigh,10/15/2002,47.6063889,-122.3308333
10/1/2002 15:00,athol,id,us,teardrop,300,3-5 min.,high polished chrome-teardrop shaped object hovering over a busy North Idaho Hi-way in mid afternoon,4/27/2004,47.9480556,-116.7069444
10/1/2002 20:30,castro valley,ca,us,other,1200,20 min?,I was driving from San Leandro to San Ramon took 580 to Crow Canyon Rd. I was stunned by a hovering shape in the sky.It was hard to mak,10/15/2002,37.6941667,-122.0852778
10/1/2003 21:30,oologah,ok,us,other,600,5-10 minutes,UFO that was silent and very large in Northeastern Oklahoma,3/11/2006,36.4469444,-95.7080556
10/1/2005 0:30,oak forest,il,us,light,3600,hour,I saw the three red lights in the sky over Oak Forest Illinois. They flashed like beacons. This happened around 12:30am,10/11/2005,41.6027778,-87.7438889
10/1/2005 0:57,orland park,il,us,light,6,:06,Red lights over Orland Park,10/11/2005,41.6302778,-87.8538889
10/1/2005 1:00,oak forest,il,us,changing,600,5-10 minutes,3 red lights altered formations and each indiviadual light disappeared at different times,10/11/2005,41.6027778,-87.7438889
10/1/2005 1:00,tinley park,il,us,circle,600,10 mins,Three red blinking dots in the sky that hoovered unlike an airplane that I know of.,10/11/2005,41.5733333,-87.7844444
10/1/2005 1:00,tinley park,il,us,circle,600,10 minutes,3 red lights in Tinley Park sky,10/11/2005,41.5733333,-87.7844444
10/1/2005 1:00,tinley park,il,us,formation,1200,20 minutes,Three Red Lights Over Tinley Park,10/11/2005,41.5733333,-87.7844444
10/1/2005 1:00,tinley park,il,us,triangle,1800,30 min +,I saw 3 red flashing/blinking  lights in sky 1:00am 10-1-05 over Tinley Park IL,10/11/2005,41.5733333,-87.7844444
10/1/2005 1:10,cuyahoga falls,oh,us,other,7,5-7 seconds,V-shaped object seen in sky of Cuyahoga Falls&#44 Ohio,2/14/2006,41.1338889,-81.4847222
10/1/2005 1:10,oak forest,il,us,cylinder,7200,2 hours,There were 3 red lights&#44 sometimes they were in a trianlge and than in straight line. they went away one by on. After 1:00 am,10/11/2005,41.6027778,-87.7438889
10/1/2005 19:58,rogers,mn,us,triangle,1020,17 minutes,Triangular UFO hovered with Stench,10/20/2005,45.1888889,-93.5527778
10/1/2005 22:00,central lake,mi,us,unknown,1500,25 min,Lights over Traverse Bay 35min moving than fixed position,10/11/2005,45.07,-85.2644444
10/1/2005 22:30,portage la prairie (canada0,mb,,other,30,30 seconds,Six lights in a strange formation surrounded by two long rectagular objects,10/30/2012,49.972636,-98.282777
10/1/2006 1:00,rio rancho,nm,us,oval,3,2-3 seconds,From inside my home I witnessed an oval shaped green light travel low and slow from my window. It was completely silent.,10/30/2006,35.2333333,-106.6638889
10/1/2006 15:05,thompson,mo,us,cigar,3600,1 hour,MISSOURI INVESTIGATORS GROUP Report:  I saw glowing green lights in the sky at night and 5 objects in the sky during sunset..,12/12/2009,39.1886111,-91.9827778
10/1/2006 19:45,las vegas,nv,us,fireball,600,10 minutes,Three Fireballs in the Las Vegas sky flying in formation then becoming one fireball. ((NUFORC Note:  Possible advertising lights?  PD)),12/12/2011,36.175,-115.1363889
10/1/2006 19:48,austin,tx,us,,4,3-4 seconds,White quickly moving light swept across our backyard.,10/30/2006,30.2669444,-97.7427778
10/1/2006 21:00,sandrock,al,,unknown,600,10min.,SEVERAL OBJECTS VERY HIGH IN THE SKY  AT NIGHT&#44 GLOWING RED&#44 AND JOINING IN PATTERNS.,10/30/2006,33.635026,-85.795908
10/1/2006 22:15,phoenix and saguaro lake,az,,light,2,a few seconds?,Giant meteor sails over Saguaro Lake  Senta Scarborough and JJ Hensley The Arizona Republic Oct. 2&#44 2006 10:48 AM  Residents who saw a,10/30/2006,33.800592,-112.204047
10/1/2006 23:00,silver city,nm,us,light,180,3 minutes,UFO over Silver City&#44 New Mexico at very low altitude.,10/30/2006,32.77,-108.2797222
10/1/2006 23:15,canon city,co,us,light,240,1 1/4 minutes,Large bright light with aura&#44 &quot;fireworks&quot; features&#44 then several distinct white lights,10/30/2006,38.4,-105.2166667
10/1/2006 23:20,cripple creek,co,us,fireball,15,15 + seconds,Fireball object in Western Sky,10/30/2006,38.7466667,-105.1777778
10/1/2007 19:00,beulaville,nc,us,triangle,5,5 sec,Green Glowing Triangular Craft,10/31/2008,34.9236111,-77.7741667
10/1/2008 19:40,delta (canada),bc,ca,disk,5,5 seconds,Lighted disk stops overhead,10/31/2008,50.183333,-98.316667
10/1/2008 20:00,wilson,nc,us,circle,600,10 minutes,Star shaped light blinking and rotating - then two of same lights after cloud went over and began to move,10/31/2008,35.7211111,-77.9158333
10/1/2008 22:00,garrett,in,us,triangle,4,.5 hour,Triangular shape with an array of lights and unusual amount of silent aircraft in the sky.,10/31/2008,41.3494444,-85.1355556
10/1/2008 22:45,sunnyvale,ca,us,other,20,20 seconds,flashing object with erratic motion,10/31/2008,37.3688889,-122.0352778
10/1/2009 0:00,grafton,wv,,light,20,20 seconds,Orange light hovering from east to west over town,8/21/2011,39.340925,-80.018966
10/1/2009 15:38,whitefield,ok,us,light,2,seconds,Looked like a light that appeared to be moving upwards.,12/12/2009,35.2525,-95.2372222
10/1/2009 23:00,fairfield,ct,us,light,20,20 seconds,2 seperate observations. Fairfield&#44 CT,12/12/2009,41.1411111,-73.2641667
10/1/2010 9:30,spotsylvania,va,us,circle,1800,30 minutes,blue&#44 red&#44 green&#44 and bright white light hovering over field near Thornburg Va food lion.,4/3/2011,38.2008333,-77.5894444
10/1/2010 20:45,brunswick,oh,us,triangle,600,10 min,Triangle craft with bright light changes colors and moves like helicopter.,11/21/2010,41.2380556,-81.8419444
10/1/2011 0:00,cabot/lonoke,ar,,circle,3600,1+ hrs,A bright object sighted above our house that moves back and forth slowly and hovers.  ((NUFORC Note:  Possible star?  PD)),10/10/2011,34.974532,-92.016534
10/1/2011 0:00,staten island (over),ny,,unknown,600,10 minutes,Huge bright fireball descends over Staten Island.,12/12/2011,40.579532,-74.150201
10/1/2012 19:30,hinsdale,il,us,fireball,180,3 minutes,Orange fireball quickly ascending in sky in West suburbs of Chicago,10/30/2012,41.8008333,-87.9369444
10/1/2012 20:00,eugene,or,us,light,180,hours,Star looking lights with flashing red&#44 green&#44 and purple lights that just hover around &#33 NOT GOING ANYWHERE&#33  ((Star?)),10/30/2012,44.0522222,-123.0855556
10/1/2013 6:35,bel air,md,us,flash,4,2-4 seconds,Flashing ball that goes out and continues as a black dot at slower speed then a meteor.,10/3/2013,39.5358333,-76.3486111
10/1/2013 9:42,cobb mountain,ca,,fireball,1500,25 minutes,Bright round orange/red fireball.,10/3/2013,38.807404,-122.740546
10/1/2013 9:43,muncie,in,us,triangle,7200,2 hours,Bright Triangular Light Orb in the sky different flashing lights and appears closer each day.,10/3/2013,40.1933333,-85.3863889
10/1/2013 12:30,pittsburgh,pa,us,unknown,60,<i minute,I&#39m conflicted. I had another sighting&#44 and I was challenged by you of filing a false report.  ((NUFORC Note:  See comment below.  PD),10/14/2013,40.4405556,-79.9961111
10/1/2013 23:30,arlington,wi,us,unknown,600,10 minutes,Strange Green/Purple and Orange Dancing Lights Above Farm Field.,10/3/2013,43.3380556,-89.3802778
10/12/1973 19:00,birmingham (just south of),al,us,disk,900,10-15 minutes,Glowing Green UFO seen by myself (mom) and my 4 children very low over our car on a Friday night in Alabama in 1973.,4/2/1999,33.5205556,-86.8025
10/12/1978 23:00,alpine,az,us,circle,7200,2 hours,DURING A HUNTING TRIP IN THE MOUNTAINS&#44WE MADE CAMP AND LATE THAT NIGHT I SAW THE FOLLOWING. A BRIGHT LIGHT THAT CAME FROM THE SOUTHEAS,8/30/2013,33.8480556,-109.1425
10/12/1994 21:00,okeechobee,fl,us,disk,120,unknown - hours,close encounter of the fifth kind - detailed information was given via ELF wave and four books written with schematics/drawnings.,1/24/2014,27.2436111,-80.83
10/12/1997 10:30,poole (uk/england),,gb,other,60,1 minute,UFO Sighted in Poole&#44 Dorset England,3/19/2009,50.716667,-2
10/12/1997 21:51,kenner (34th st.),la,us,disk,1260,1:21min,two disk like objects passed over me and my mother  objevts seemed to be a couple of thousand feet overhead,6/2/1998,29.9938889,-90.2416667
10/12/1997 22:30,chicago,il,us,light,300,5 minutes,Me and my friend were driving back from a Cubs game and we saw a red light in the sky it was moving very fast&#44 then stopped&#44 went back,9/19/2002,41.85,-87.65
10/12/1998 4:00,lincoln,ne,us,egg,11,11 sec,3 Lights not as egg shaped but close&#44 thumb nail. Flying in tryangle formation flew over for 7 seconds not to close but not far away. f,11/1/1998,40.8,-96.6666667
